Año,Trimestre,Ingresos (miles de pesos),Incremento Neto,Incremento Porcentual
2022,3,67055930,6720206,11.14
2022,2,60335724,4745727,8.54
2022,1,55589997,10122110,22.26
2021,4,45467887,2467943,5.74
2021,3,42999944,4760277,12.45
2021,2,38239667,1563296,4.26
2021,1,36676371,3136668,9.35
2020,4,33539703,1542258,4.82
2020,3,31997445,-105031,-0.33
2020,2,32102476,2156260,7.20
2020,1,29946216,5776965,23.90
2019,4,24169251,2516503,11.62
2019,3,21652748,909630,4.39
2019,2,20743118,535704,2.65
2019,1,20207414,3569727,21.46
2018,4,16637687,1226706,7.96
2018,3,15410981,1091514,7.62
2018,2,14319467,1148008,8.72
2018,1,13171459,1945332,17.33
2017,4,11226127,1160129,11.53
2017,3,10065998,387351,4.00
2017,2,9678647,977446,11.23
2017,1,8701201,1217221,16.26
2016,4,7483980,571538,8.27
2016,3,6912442,378201,5.79
2016,2,6534241,597396,10.06
2016,1,5936845,559946,10.41
2015,4,5376899,223160,4.33
2015,3,5153739,451948,9.61
2015,2,4701791,-174594,-3.58
2015,1,4876385,925944,23.44
2014,4,3950441,471803,13.56
2014,3,3478638,207822,6.35
2014,2,3270816,286762,9.61
2014,1,2984054,2984054,
