Año,Trimestre,Banda ancha fija,Porcentaje Incremento Banda ancha,Dial up,Porcentaje Incremento Dial up,Total,Periodo
2022,3,11078691,1.21,12437,0.01,11091128,Jul-Sept 2022
2022,2,10946248,3.16,12436,-1.45,10958684,Abr-Jun 2022
2022,1,10611390,1.28,12619,-1.88,10624009,Ene-Mar 2022
2021,4,10476933,3.99,12861,24.18,10489794,Oct-Dic 2021
2021,3,10075184,2.26,10357,-0.24,10085541,Jul-Sept 2021
2021,2,9852702,2.23,10382,3.65,9863084,Abr-Jun 2021
2021,1,9637956,0.8,10016,0,9647972,Ene-Mar 2021
2020,4,9561546,2.3,10016,0,9571562,Oct-Dic 2020
2020,3,9346183,3.6,10016,0,9356199,Jul-Sept 2020
2020,2,9021040,2.48,10016,0.25,9031056,Abr-Jun 2020
2020,1,8802435,0.22,9991,-1.35,8812426,Ene-Mar 2020
2019,4,8783053,-3.94,10128,-53.53,8793181,Oct-Dic 2019
2019,3,9142891,2.29,21793,0.18,9164684,Jul-Sept 2019
2019,2,8938427,3.62,21754,-0.27,8960181,Abr-Jun 2019
2019,1,8626323,2.06,21812,-0.01,8648135,Ene-Mar 2019
2018,4,8451841,1.58,21814,-18.64,8473655,Oct-Dic 2018
2018,3,8320223,2.93,26812,-0.37,8347035,Jul-Sept 2018
2018,2,8083533,0.92,26911,-0.59,8110444,Abr-Jun 2018
2018,1,8009981,2.13,27072,-1.36,8037053,Ene-Mar 2018
2017,4,7842778,1.9,27444,-3.19,7870222,Oct-Dic 2017
2017,3,7696594,3.99,28349,-0.63,7724943,Jul-Sept 2017
2017,2,7401134,1.7,28530,-0.04,7429664,Abr-Jun 2017
2017,1,7277314,0.75,28540,-0.02,7305854,Ene-Mar 2017
2016,4,7223128,0.62,28545,-0.23,7251673,Oct-Dic 2016
2016,3,7178340,1.14,28610,-11.9,7206950,Jul-Sept 2016
2016,2,7097604,3.24,32475,-0.54,7130079,Abr-Jun 2016
2016,1,6874704,-1.12,32652,0.34,6907356,Ene-Mar 2016
2015,4,6952289,0.72,32542,-0.79,6984831,Oct-Dic 2015
2015,3,6902267,1.75,32801,-0.33,6935068,Jul-Sept 2015
2015,2,6783279,1.25,32909,-13.44,6816188,Abr-Jun 2015
2015,1,6699714,2.14,38018,-3.32,6737732,Ene-Mar 2015
2014,4,6559172,0,39324,9.21,6598496,Oct-Dic 2014
2014,3,6559264,2.04,36007,-0.37,6595271,Jul-Sept 2014
2014,2,6428329,1.04,36139,-0.42,6464468,Abr-Jun 2014
2014,1,6362108,,36290,,6398398,Ene-Mar 2014
