Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
BUENOS AIRES,Bahía Blanca,Villa Bordeau,0,,,,,,,,SI,SI,6056020,-38.647260509460,-62.320022341902
BUENOS AIRES,Bahía Blanca,Villa Espora,0,,,,,,,,,,6056020,-38.776506952922,-62.185183353718
BUENOS AIRES,Balcarce,Balcarce,38376,SI,SI,SI,SI,,SI,SI,SI,SI,6063010,-37.848277929435,-58.255166584125
BUENOS AIRES,Balcarce,Los Pinos,337,,,,,,SI,SI,,,6063020,-37.941205760300,-58.322592015044
BUENOS AIRES,Balcarce,Napaleofú,374,,,,SI,,SI,SI,SI,SI,6063030,-37.625498021003,-58.746186235942
BUENOS AIRES,Balcarce,Ramos Otero,95,,,,,,SI,,,SI,6063040,-37.542635371202,-58.340718550727
BUENOS AIRES,Balcarce,San Agustín,498,,,,,,SI,SI,,,6063050,-38.012283856459,-58.355377761682
BUENOS AIRES,Balcarce,Villa Laguna La Brava,115,,,,,,SI,SI,SI,SI,6063060,-37.859628528215,-57.980600873640
BUENOS AIRES,Baradero,Baradero,28537,SI,SI,,SI,SI,SI,SI,SI,SI,6070010,-33.812878154716,-59.504306885281
BUENOS AIRES,Baradero,Irineo Portela,379,,,,SI,SI,SI,SI,,,6070020,-33.981048919856,-59.671560160632
BUENOS AIRES,Baradero,Santa Coloma,203,,,,,,SI,,,SI,6070030,-34.062154134736,-59.558542064285
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),1488,SI,,,,,SI,SI,SI,SI,6070040,-33.909603804559,-59.388201713228
BUENOS AIRES,Benito Juárez,Barker,1241,,,SI,SI,SI,SI,SI,SI,SI,6084010,-37.642411130237,-59.388938031293
CHUBUT,Futaleufú,Lago Rosario,87,,,,,SI,,SI,,,26035040,-43.250016851871,-71.351231844289
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),11331,SI,SI,SI,SI,,SI,SI,SI,SI,6329020,-34.926773907426,-58.945340785129
BUENOS AIRES,General Las Heras,La Choza,41,,,,,,,,,,6329030,-34.782990827616,-59.109564769325
BUENOS AIRES,General Las Heras,Lozano,0,,,,,SI,,,,,6329020,-34.854279625981,-59.053345131778
BUENOS AIRES,General Las Heras,Plomer,198,,,,,,,SI,,,6329050,-34.794119366776,-59.027975693574
BUENOS AIRES,General Las Heras,Villars,1147,,SI,SI,SI,,,SI,,,6329060,-34.830024194966,-58.942258940203
BUENOS AIRES,General Lavalle,Chacras de San Clemente,0,,,,,,SI,,,,6336020,-36.408085187246,-56.943355333505
BUENOS AIRES,General Lavalle,General Lavalle,1827,,SI,,SI,SI,SI,SI,SI,SI,6336020,-36.408085187246,-56.943355333505
BUENOS AIRES,General Lavalle,Pavón,942,,,,SI,,SI,,SI,SI,6336030,-36.708953772665,-56.759843361757
BUENOS AIRES,General Paz,Barrio Río Salado,265,,,,,,,,,,6343010,-35.693637758258,-58.447313612508
