Provincias;Densidad (Hab/Km2);Poblacion (Hab);Densidad;Poblacion;;;;;;;;;;
Buenos Aires;57,43;17569053;DENSA;POBLADA;;;;;;;;;;
Córdoba;24,16;3978984;SEMIDENSA;POBLADA;;;;;;;;;;
Santa Fe;26,69;3556522;SEMIDENSA;POBLADA;;;;;;;;;;
Ciudad Autónoma de Buenos Aires;15155,96;3120612;DENSA;POBLADA;;;;;;;;;;
Mendoza;13,51;2014533;NO DENSA;SEMIPOBLADA;;;;;;;;;;
Tucumán;75,39;1703186;DENSA;SEMIPOBLADA;;;POBLACION;;;;;;;
Salta;9,27;1440672;NO DENSA;SEMIPOBLADA;;;;;;;;;HAB;CANT.
Entre Ríos;18,2;1426426;NO DENSA;SEMIPOBLADA;;;;;;;;POBLADA;> 3 MILLONES;4
Misiones;42,83;1280960;SEMIDENSA;SEMIPOBLADA;;;;;;;;SEMIPOBLADA;1 A 3 MILLONES;8
Corrientes;13,44;1197553;NO DENSA;SEMIPOBLADA;;;;;;;;DESPOBLADA;< 1000000;12
Chaco;11,46;1142963;NO DENSA;SEMIPOBLADA;;;;;;;;;;24
Santiago del Estero;7,7;1054028;NO DENSA;SEMIPOBLADA;;;;;;;;;;
San Juan;9,27;818234;NO DENSA;DESPOBLADA;;;;;;;;;;
Jujuy;14,99;797955;NO DENSA;DESPOBLADA;;;;;;;;;;
Río Negro;3,77;762067;NO DENSA;DESPOBLADA;;;;;;;;;;
Neuquén;7,7;726590;NO DENSA;DESPOBLADA;;;;;;;;;;
Formosa;8,03;606041;NO DENSA;DESPOBLADA;;;;;;;;;;
Chubut;2,69;603120;NO DENSA;DESPOBLADA;;;DENSIDAD;;;;;;;
San Luis;7,18;540905;NO DENSA;DESPOBLADA;;;;;;;;;;
Catamarca;4,23;429556;NO DENSA;DESPOBLADA;;;;;;;;;HAB/KM2;CANT
La Rioja;4,2;384607;NO DENSA;DESPOBLADA;;;;;;;;DENSA;>50;3
La Pampa;2,55;366022;NO DENSA;DESPOBLADA;;;;;;;;SEMIDENSA;20 A 50;3
Santa Cruz;1,36;333473;NO DENSA;DESPOBLADA;;;;;;;;NO DENSA;< 20;18
"Tierra del Fuego, Antártida e Islas
del Atlántico Sur";0,21;190641;NO DENSA;DESPOBLADA;;;;;;;;;;24
;;;;;;;;;;;;;;
POBLADA-DENSA;2;;;;;;;;;;;;;
POBLADA-SEMIDENSA;2;;;;;;;;;;;;;
POBLADA-NO DENSA;0;;;;;;;;;;;;;
SEMIPOBLADA-DENSA;1;;;;;;;;;;;;;
SEMIPOBLADA-SEMIDENSA;1;;;;;;;;;;;;;
SEMIPOBLADA- NO DENSA;6;;;;;;;;;;;;;
DESPOBLADA-DENSA;0;;;;;;;;;;;;;
DESPOBLADA-SEMIDENSA;0;;;;;;;;;;;;;
DESPOBLADA-NO DENSA;12;;;;;;;;;;;;;
;24;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EN ESTE MODELO EL TAMAÑO DE LA POBLACION DETERMINA LA DENSIDAD , TIENE UNA ALTA CORRELACION;;;;;;;;;;;;;;
